Latitude,Longitude,Color,Station,Lines
51.50728609109733,-0.12219420843296866,#B26300,Embankment,Bakerloo
51.52256123478623,-0.16281685253987682,#B26300,Marylebone,Bakerloo
51.52045932455832,-0.17023941672343693,#B26300,Edgware Road,Bakerloo
51.52361336788246,-0.14677754132330603,#B26300,Regent's Park,Bakerloo
51.499064609925604,-0.11210860167128765,#B26300,Lambeth North,Bakerloo
51.51344035694199,-0.15832606595661491,#DC241F,Marble Arch,Central
51.514928952867415,-0.09756064636101283,#DC241F,St. Paul's,Central
51.518217932537944,-0.1114986562185097,#DC241F,Chancery Lane,Central
51.51183325986205,-0.17537256895895845,#DC241F,Lancaster Gate,Central
51.520230061039086,-0.09767426473330493,#FFC80A,Barbican,Circle
51.518517250922166,-0.08839486292016849,#FFC80A,Moorgate,Circle
51.51417320102082,-0.07551559963904868,#FFC80A,Aldgate,Circle
51.510126718262896,-0.07665976834385135,#FFC80A,Tower Hill,Circle
51.51100520445336,-0.08666416366870136,#FFC80A,Monument,Circle
51.51109368430387,-0.09035312770972595,#FFC80A,Cannon Street,Circle
51.51230096417939,-0.09363058491324316,#FFC80A,Mansion House,Circle
51.5114831827643,-0.1031310529167995,#FFC80A,Blackfriars,Circle
51.51103369401793,-0.11428472107701147,#FFC80A,Temple,Circle
51.49948733483708,-0.13371433432271115,#FFC80A,St. James's Park,Circle
51.49249883109123,-0.15638988633099393,#FFC80A,Sloane Square,Circle
51.52017413436844,-0.10474698641827175,#FFC80A,Farringdon,Circle
51.52576179854042,-0.13508407468114508,#FFC80A,Euston Square,Circle
51.52313134089576,-0.14383080114179744,#FFC80A,Great Portland Street,Circle
51.513006858349456,-0.12416061780663135,#0019A8,Covent Garden,Piccadilly
51.501540221966366,-0.16053497170437442,#0019A8,Knightsbridge,Piccadilly
51.523087165505196,-0.12426441226918597,#0019A8,Russell Square,Piccadilly
51.54856587007831,-0.11825151608687674,#0019A8,Caledonian Road,Piccadilly
51.49416945587004,-0.17395392337749038,#0019A8,South Kensington,Piccadilly
51.50303596802685,-0.15234908337491462,#0019A8,Hyde Park Corner,Piccadilly
51.503909933453215,-0.10495905395769478,#838D93,Southwark,Jubilee
51.501387171775825,-0.12485855730193467,#838D93,Westminster,Jubilee
51.534860068271016,-0.17412908817551417,#838D93,St. John's Wood,Jubilee
51.49566449033251,-0.14372675929502332,#039BE5,Victoria,Victoria
51.524628954294094,-0.138170112506217,#039BE5,Warren Street,Victoria
51.48930659335895,-0.13333196595863256,#039BE5,Pimlico,Victoria
51.48631929678031,-0.12358905504927968,#039BE5,Vauxhall,Victoria
51.54620587900736,-0.1046867611857996,#039BE5,Highbury & Islington,Victoria
51.53956282988328,-0.1426555333987208,#000000,Camden Town,Northern
51.54418702415798,-0.15381352220568367,#000000,Chalk Farm,Northern
51.501253364078984,-0.09361241464946041,#000000,Borough,Northern
51.55057204383521,-0.16429559488112913,#000000,Belsize Park,Northern
51.52064959904572,-0.13450202589171137,#000000,Goodge Street,
51.4821808458388,-0.11288406118791176,#000000,Oval,Northern
51.5133992600477,-0.08891176846785534,#000000,Bank,Northern
51.51853729312291,-0.08839133301863529,#000000,Moorgate,Northern
51.52568279362167,-0.08749327033845601,#000000,Old Street,Northern
51.532851697912776,-0.10581051822743978,#000000,Angel,Northern
51.53435831723973,-0.13889646582700796,#000000,Mornington Crescent,Northern
51.494614508696195,-0.10033324355433457,#FFFFFF,Elephant & Castle,"Northern, Bakerloo"
51.52848354449965,-0.133200579980091,#FFFFFF,Euston,"Victoria, Northern"
51.50308820734314,-0.11517018730842989,#FFFFFF,Waterloo,"Bakerloo, Jubilee"
51.51743686563021,-0.11999094584032641,#FFFFFF,Holborn,"Central, Piccadilly"
51.5143439226983,-0.14885381975490258,#FFFFFF,Bond Street,"Central, Jubilee"
51.50588055490595,-0.086962017222042,#FFFFFF,London Bridge,"Jubilee, Northern"
51.517438801538425,-0.08296509068230405,#FFFFFF,Liverpool Street,"Central, Circle"
51.508591721063326,-0.12587666335560496,#FFFFFF,Charing Cross,"Bakerloo, Northern"
51.5114626760695,-0.12813968186882202,#FFFFFF,Leicester Square,"Piccadilly, Northern"
51.523161374834174,-0.15687374703316,#FFFFFF,Baker Street,"Jubilee, Bakerloo"
51.510122594168806,-0.134168249064693,#FFFFFF,Piccadilly Circus,"Piccadilly, Bakerloo"
51.564738837098055,-0.10574278615794237,#FFFFFF,Finsbury Park,"Piccadilly, Victoria"
51.51628637415419,-0.13004048865449244,#FFFFFF,Tottenham Court Road,"Central, Northern"
51.506971095810016,-0.14287307128700233,#FFFFFF,Green Park,"Piccadilly, Jubilee, Victoria"
51.515217154456174,-0.14185843970613782,#FFFFFF,Oxford Circus,"Central, Bakerloo, Victoria"
51.53069127514982,-0.12315643929460993,#FFFFFF,King's Cross St. Pancras,"Circle, Piccadilly, Victoria"
51.472368675916904,-0.12281712586320397,#FFFFFF,Stockwell,"Northern, Victoria"